index,water_level,surface_area
1,1077.0,133165.93695690137
2,1078.0,241362.7470017737
3,1079.0,399497.8526889576
4,1080.0,599255.2609333041
5,1081.0,990461.0013627473
6,1082.0,1564798.996200037
7,1083.0,2272325.6870381827
8,1084.0,3088086.8819084344
9,1085.0,4028733.2534929905
10,1086.0,4969401.54530721
11,1087.0,6001661.700875867
12,1088.0,7200455.537600436
13,1089.0,8365966.169890716
14,1090.0,9714640.876958206
15,1091.0,11138288.617689831
16,1092.0,12495334.479875945
17,1093.0,13968938.239562921
18,1094.0,15517525.844067562
19,1095.0,17274294.896180324
20,1096.0,18889552.88376503
21,1097.0,20787926.623365827
22,1098.0,22744563.934425555
23,1099.0,24851194.927525092
24,1100.0,27049389.38539159
25,1101.0,29430800.398002047
26,1102.0,31820593.778533466
27,1103.0,34135475.66895531
28,1104.0,36675189.03495212
29,1105.0,39348139.57576758
30,1106.0,42121061.96490566
31,1107.0,44977239.85200085
32,1108.0,48016632.4989211
33,1109.0,51106005.43613517
34,1110.0,54553429.65026754
35,1111.0,58142252.91590144
36,1112.0,61839244.50950199
